date,yield_pct
2010-03-11,4.0801
2010-03-12,4.0951
2010-03-15,4.1
2010-03-16,4.0995
2010-03-17,4.1058
2010-03-18,4.1068
2010-03-19,4.1
2010-03-22,4.107
2010-03-23,4.107
2010-03-24,4.1068
2010-03-25,4.112
2010-03-26,4.117
2010-03-29,4.107
2010-03-30,4.1042
2010-03-31,4.1033
2010-04-01,4.1028
2010-04-02,4.1133
2010-04-06,4.1111
2010-04-07,4.1211
2010-04-08,4.1361
2010-04-09,4.1461
2010-04-12,4.1574
2010-04-13,4.1556
2010-04-14,4.1499
2010-04-15,4.1499
2010-04-16,4.15
2010-04-19,4.14
2010-04-20,4.1301
2010-04-21,4.1302
2010-04-22,4.1201
2010-04-23,4.1048
2010-04-26,4.106
2010-04-27,4.096
2010-04-28,4.091
2010-04-29,4.086
2010-04-30,4.0823
2010-05-04,4.0823
2010-05-05,4.0824
2010-05-06,4.0802
2010-05-07,4.06
2010-05-10,4.0599
2010-05-11,4.06
2010-05-12,4.0575
2010-05-13,4.0581
2010-05-14,4.0537
2010-05-17,4.0436
2010-05-18,4.0336
2010-05-19,4.0036
2010-05-20,3.9986
2010-05-21,3.9985
2010-05-24,4.0039
2010-05-25,4.014
2010-05-26,4.0141
2010-05-27,4.0142
2010-05-28,4.0143
2010-05-31,4.0146
2010-06-01,4.0247
2010-06-02,4.0097
2010-06-03,4.0098
2010-06-04,4.0099
2010-06-07,4.0015
2010-06-08,4.0016
2010-06-09,4.0017
2010-06-10,4.0068
2010-06-11,4.0169
2010-06-12,4.012
2010-06-13,4.0221
2010-06-17,3.9971
2010-06-18,4.0371
2010-06-21,4.0374
2010-06-22,4.0384
2010-06-23,4.0394
2010-06-24,4.0294
2010-06-25,4.0295
2010-06-28,4.0097
2010-06-29,4.0048
2010-06-30,4.0105
2010-07-01,4.0245
2010-07-02,4.018
2010-07-05,4.0031
2010-07-06,3.9731
2010-07-07,3.9655
2010-07-08,3.97
2010-07-09,3.975
2010-07-12,3.9678
2010-07-13,3.9579
2010-07-14,3.9705
2010-07-15,3.9704
2010-07-16,3.9705
2010-07-19,3.9715
2010-07-20,3.9706
2010-07-21,3.9705
2010-07-22,3.9706
2010-07-23,3.9706
2010-07-26,3.9808
2010-07-27,3.9857
2010-07-28,3.9807
2010-07-29,3.9809
2010-07-30,3.991
2010-08-02,3.9911
2010-08-03,3.9911
2010-08-04,3.9911
2010-08-05,3.9912
2010-08-06,3.9912
2010-08-09,3.9913
2010-08-10,3.9913
2010-08-11,3.9913
2010-08-12,3.9811
2010-08-13,3.9712
2010-08-16,3.9712
2010-08-17,3.9712
2010-08-18,3.9713
2010-08-19,3.9713
2010-08-20,3.9665
2010-08-23,3.9665
2010-08-24,3.9512
2010-08-25,3.9517
2010-08-26,3.9511
2010-08-27,3.9565
2010-08-30,3.9565
2010-08-31,3.9564
2010-09-01,3.9512
2010-09-02,3.9512
2010-09-03,3.9509
2010-09-06,3.9511
2010-09-07,3.9613
2010-09-08,3.9612
2010-09-09,3.9612
2010-09-10,3.9611
2010-09-13,3.966
2010-09-14,3.9659
2010-09-15,3.961
2010-09-16,3.961
2010-09-17,3.9612
2010-09-19,3.9612
2010-09-20,3.9611
2010-09-21,3.9613
2010-09-25,3.9639
2010-09-26,3.9665
2010-09-27,3.9663
2010-09-28,3.9663
2010-09-29,3.9663
2010-09-30,3.9664
2010-10-08,3.9676
2010-10-09,3.9676
2010-10-11,3.9922
2010-10-12,4.0026
2010-10-13,3.9974
2010-10-14,3.9974
2010-10-15,3.9977
2010-10-18,3.9979
2010-10-19,3.998
2010-10-20,4.098
2010-10-21,4.0984
2010-10-22,4.0934
2010-10-25,4.0901
2010-10-26,4.1201
2010-10-27,4.1202
2010-10-28,4.1402
2010-10-29,4.1357
2010-11-01,4.1529
2010-11-02,4.153
2010-11-03,4.173
2010-11-04,4.183
2010-11-05,4.203
2010-11-08,4.2232
2010-11-09,4.2332
2010-11-10,4.2681
2010-11-11,4.2931
2010-11-12,4.308
2010-11-15,4.3199
2010-11-16,4.3099
2010-11-17,4.3069
2010-11-18,4.2919
2010-11-19,4.3019
2010-11-22,4.3119
2010-11-23,4.3419
2010-11-24,4.3669
2010-11-25,4.3769
2010-11-26,4.3919
2010-11-29,4.3898
2010-11-30,4.3848
2010-12-01,4.3948
2010-12-02,4.3848
2010-12-03,4.3849
2010-12-06,4.3831
2010-12-07,4.3631
2010-12-08,4.3131
2010-12-09,4.2631
2010-12-10,4.2731
2010-12-13,4.2731
2010-12-14,4.2735
2010-12-15,4.2557
2010-12-16,4.25
2010-12-17,4.2452
